TaskType	RequiredPrimary	RequiredMirror	Optional	ContextRule
Produkt-Loop	C:\Users\carst\Projekte\Claude;C:\Users\carst\Projekte\Einfach-Geld-Ordnen\Brain_EGO_Dateien	_INTERN\governance\claude;_INTERN\governance\KNOWLEDGE_SYSTEM_ENTERPRISE_POLICY.md	_local\chatpack reports	Vor jedem Produktprompt Claude-Muster + Brain-Kontext abgleichen
Claude-Prompting	C:\Users\carst\Projekte\Claude	_INTERN\governance\claude;Brain_EGO_Dateien\external_models\claude	Produktartefakte	Keine Prompt-Erstellung ohne Claude-Learnings/Drift/Regeln
Governance-Änderung	_INTERN\governance;C:\Users\carst\Projekte\Einfach-Geld-Ordnen\Brain_EGO_Dateien	Brain_EGO_Dateien\system	Externe Spezialbereiche	Regeländerung nur nach Abgleich mit vorhandenen Steuerdateien
Brain-Intern-Struktur	C:\Users\carst\Projekte\Einfach-Geld-Ordnen\Brain_EGO_Dateien;_INTERN\governance	_INTERN\governance\KNOWLEDGE_SOURCE_REGISTRY.tsv	Externe Spezialbereiche	Erst Registry/Pflichtabruf prüfen, dann Struktur ändern
Folgeprojekt-Klon	_INTERN\governance;C:\Users\carst\Projekte\Einfach-Geld-Ordnen\Brain_EGO_Dateien;C:\Users\carst\Projekte\Claude	_INTERN\governance\claude;Brain_EGO_Dateien\external_models\claude	Projektartefakte	Meta-Regeln + ausgelagerte Spezialwissensbereiche vor Übernahme abgleichen
OpenAI-Regress-Governance	_INTERN\governance;C:\Users\carst\Projekte\Einfach-Geld-Ordnen\Brain_EGO_Dateien	Brain_EGO_Dateien\system	OpenAI_Logs / Findings	Regressfälle immer in Governance + Brain verknüpfen
Tool-Entrypoint-Failure	_INTERN\governance\BOOTSTRAP_INTERNAL.md;_INTERN\governance\GOVERNANCE_INTERNAL.md;_INTERN\governance\QA_GATE_INTERNAL.md;_INTERN\governance\LEARNINGS_INTERNAL.md		_INTERN\governance\TASK_REQUIRED_READS_MATRIX.tsv	Tool-Entrypoint-Fehler immer gegen Bootstrap, Governance, QA und Learnings prüfen
Workbook-Artifact-Identity	_INTERN\governance\BOOTSTRAP_INTERNAL.md;_INTERN\governance\GOVERNANCE_INTERNAL.md;_INTERN\governance\QA_GATE_INTERNAL.md;_INTERN\governance\LEARNINGS_INTERNAL.md;_INTERN\governance\WORKBOOK_CANONICAL_SOURCE_MANIFEST_20260322.tsv	Brain_EGO_Dateien\latest\START_ACCEPTANCE_INTERNAL.md	Produkt_EGO bundles;_INTERN private_sources\release_candidates	Vor jedem Workbook-Apply mit mehreren moeglichen Quellen erst Manifest/Audit/Start-Lock und Hash-Identitaet pruefen
Active-Scope-Lock	_INTERN\governance\ACTIVE_SCOPE_LOCK_INTERNAL.md;_INTERN\governance\ACTIVE_SCOPE_RESUME_INTERNAL.md;_INTERN\governance\BOOTSTRAP_INTERNAL.md;_INTERN\governance\GOVERNANCE_INTERNAL.md	Brain_EGO_Dateien\latest\ACTIVE_SCOPE_LOCK_INTERNAL.md;Brain_EGO_Dateien\latest\ACTIVE_SCOPE_RESUME_INTERNAL.md	Aktiver Fachstrang / Resume-Punkt	Vor jedem APPLY/RUN exact_step_path, exact_workbook_path, last_real_blocker und forbidden_side_tracks gegen den gelockten Scope pruefen
Visible-Surface-Rebuild	_INTERN\governance\ACTIVE_SCOPE_LOCK_INTERNAL.md;_INTERN\governance\ACTIVE_SCOPE_RESUME_INTERNAL.md;_INTERN\governance\WORKBOOK_WHOLE_SURFACE_REBUILD_SCREENSHOT_TOOLSYNC_HARDLAW_2026-04-03.md;_INTERN\governance\EXCEL_RESEARCH_FIRST_PRECOMMAND_HARDLAW_2026-04-03.md;_INTERN\governance\WORKBOOK_VISIBLE_SURFACE_FALSE_CLOSEOUT_AND_MASTERPASS_HARDLAW_20260411.md	Brain_EGO_Dateien\latest\ACTIVE_EXCEL_SURFACE_CONTRACT_HAUSHALTSBUCH_2026-04-03.json;Brain_EGO_Dateien\latest\VISIBLE_SURFACE_LAYOUT_SPEC_HAUSHALTSBUCH_2026-04-03.json	Manual Excel Screenshot;tools\run-start-xlsx-builder.ps1	Vor jedem Ganzblatt-Rebuild erst Hard-Reset/Screenshot-Review bestaetigen; genau ein konsolidierter Apply pro Review-Zyklus; nach drei Korrekturen kompletter Rebuild
